player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Aaron Brooks,brookaa01,2014,RS,DEN,1781,841,1.279402268,-3.013926754,-1.734524486,-1.168164992,0.739422769,-0.428742224,0.865452443,-2.388483736,-1.523031293,0.530856522,0.530856522,0,0.773987566,-1.911327152,-1.137339586,0.799980467
Aaron Brooks,brookaa01,2014,RS,HOU,1457,716,0.601052149,-1.044483049,-0.4434309,-2.154799989,-0.580682695,-2.735482684,-1.03E-05,-1.027015897,-1.027026214,0.628861993,0.628861993,0,0.370245977,-0.591274101,-0.221028124,-0.083180705
Aaron Brooks,brookaa01,2015,PO,CHI,251,132,-4.437666724,-4.993700845,-9.431367569,-12.12582658,-7.343821581,-19.46964816,-6.299797712,-5.835093992,-12.1348917,-0.640244338,0,-0.640244338,-3.228831797,-6.078609497,-9.307441294,-1.719373096
Aaron Brooks,brookaa01,2015,RS,CHI,3705,1885,1.460507843,-3.383415111,-1.922907269,1.946823832,0.0413454,1.988169232,1.649498798,-2.889518436,-1.240019638,1.4468499,1.4468499,0,1.559948143,-1.940472188,-0.380524045,-0.352557027
Aaron Brooks,brookaa01,2016,RS,CHI,2256,1108,-0.037963626,-1.255280228,-1.293243854,0.806915299,0.665376002,1.472291301,0.163022608,-0.925842757,-0.762820149,1.119932906,1.119932906,0,0.458035526,-1.24103851,-0.783002984,-0.297736218
Aaron Brooks,brookaa01,2017,PO,IND,14,7,9.16063089,-22.64217786,-13.48154697,26.77597666,-46.82446702,-20.04849036,13.32394715,-28.96964058,-15.64569343,-0.049026089,0,-0.049026089,8.149345782,-20.24494487,-12.09559909,3.103250834
Aaron Brooks,brookaa01,2017,RS,IND,1805,894,-0.445436929,-2.836500814,-3.281937743,-2.201025602,1.028144351,-1.172881251,-0.831083935,-2.198066979,-3.029150914,-0.126450874,-0.126450874,0,-1.386912416,-2.944238151,-4.331150567,-0.674173812
Aaron Brooks,brookaa01,2018,PO,MIN,7,3,0.040692817,-1.28818026,-1.247487443,-18.19218419,26.78403611,8.591851912,-3.860985009,4.513797581,0.652812572,0.005271016,0,0.005271016,-4.613612535,-4.234911308,-8.848523843,-1.827887479
Aaron Brooks,brookaa01,2018,RS,MIN,397,189,-0.746616798,-4.714730693,-5.461347491,-5.064215867,-5.331152168,-10.39536803,-1.765752614,-5.1159177,-6.881670314,-0.397393094,-0.397393094,0,-1.186877992,-4.315789783,-5.502667775,-0.252663269
Aaron Gordon,gordoaa01,2015,RS,ORL,1603,797,-1.864780405,-0.058033949,-1.922814354,-1.508845566,-0.031813902,-1.540659468,-1.853828848,-0.014868085,-1.868696933,0.357701529,0.357701529,0,-2.88046227,-0.838735059,-3.719197329,-0.17720031
